PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,male,Q,S,AgeGroup
100,0,2,34.0,1,0,26.0,1,0,1,Adult
101,0,3,28.0,0,0,7.8958,0,0,1,Adult
103,0,1,21.0,0,1,34.69451400560218,1,0,1,Adult
104,0,3,33.0,0,0,8.6542,1,0,1,Adult
105,0,3,37.0,2,0,7.925,1,0,1,Adult
106,0,3,28.0,0,0,7.8958,1,0,1,Adult
107,1,3,21.0,0,0,7.65,0,0,1,Adult
109,0,3,38.0,0,0,7.8958,1,0,1,Adult
111,0,1,47.0,0,0,52.0,1,0,1,Adult
112,0,3,14.5,1,0,14.4542,0,0,0,Minor
113,0,3,22.0,0,0,8.05,1,0,1,Adult
114,0,3,20.0,1,0,9.825,0,0,1,Adult
115,0,3,17.0,0,0,14.4583,0,0,0,Minor
116,0,3,21.0,0,0,7.925,1,0,1,Adult
117,0,3,65.0,0,0,7.75,1,1,0,Senior
118,0,2,29.0,1,0,21.0,1,0,1,Adult
119,0,1,24.0,0,1,34.69451400560218,1,0,0,Adult
120,0,3,2.0,4,2,31.275,0,0,1,Minor
121,0,2,21.0,2,0,34.69451400560218,1,0,1,Adult
123,0,2,32.5,1,0,30.0708,1,0,0,Adult
124,1,2,32.5,0,0,13.0,0,0,1,Adult
125,0,1,54.0,0,1,34.69451400560218,1,0,1,Adult
126,1,3,12.0,1,0,11.2417,1,0,0,Minor
128,1,3,24.0,0,0,7.1417,1,0,1,Adult
130,0,3,45.0,0,0,6.975,1,0,1,Adult
131,0,3,33.0,0,0,7.8958,1,0,0,Adult
132,0,3,20.0,0,0,7.05,1,0,1,Adult
133,0,3,47.0,1,0,14.5,0,0,1,Adult
134,1,2,29.0,1,0,26.0,0,0,1,Adult
135,0,2,25.0,0,0,13.0,1,0,1,Adult
136,0,2,23.0,0,0,15.0458,1,0,0,Adult
137,1,1,19.0,0,2,26.2833,0,0,1,Adult
138,0,1,37.0,1,0,53.1,1,0,1,Adult
139,0,3,16.0,0,0,9.2167,1,0,1,Minor
140,0,1,24.0,0,0,34.69451400560218,1,0,0,Adult
142,1,3,22.0,0,0,7.75,0,0,1,Adult
143,1,3,24.0,1,0,15.85,0,0,1,Adult
144,0,3,19.0,0,0,6.75,1,1,0,Adult
145,0,2,18.0,0,0,11.5,1,0,1,Minor
146,0,2,19.0,1,1,36.75,1,0,1,Adult
147,1,3,27.0,0,0,7.7958,1,0,1,Adult
148,0,3,9.0,2,2,34.375,0,0,1,Minor
149,0,2,36.5,0,2,26.0,1,0,1,Adult
150,0,2,42.0,0,0,13.0,1,0,1,Adult
151,0,2,51.0,0,0,12.525,1,0,1,Adult
152,1,1,22.0,1,0,66.6,0,0,1,Adult
153,0,3,55.5,0,0,8.05,1,0,1,Adult
154,0,3,40.5,0,2,14.5,1,0,1,Adult
156,0,1,51.0,0,1,61.3792,1,0,0,Adult
157,1,3,16.0,0,0,7.7333,0,1,0,Minor
158,0,3,30.0,0,0,8.05,1,0,1,Adult
161,0,3,44.0,0,1,16.1,1,0,1,Adult
162,1,2,40.0,0,0,15.75,0,0,1,Adult
163,0,3,26.0,0,0,7.775,1,0,1,Adult
164,0,3,17.0,0,0,8.6625,1,0,1,Minor
165,0,3,1.0,4,1,39.6875,1,0,1,Minor
166,1,3,9.0,0,2,20.525,1,0,1,Minor
168,0,3,45.0,1,4,27.9,0,0,1,Adult
170,0,3,28.0,0,0,56.4958,1,0,1,Adult
171,0,1,61.0,0,0,33.5,1,0,1,Senior
172,0,3,4.0,4,1,29.125,1,1,0,Minor
173,1,3,1.0,1,1,11.1333,0,0,1,Minor
174,0,3,21.0,0,0,7.925,1,0,1,Adult
175,0,1,56.0,0,0,30.6958,1,0,0,Adult
176,0,3,18.0,1,1,7.8542,1,0,1,Minor
178,0,1,50.0,0,0,28.7125,0,0,0,Adult
179,0,2,30.0,0,0,13.0,1,0,1,Adult
180,0,3,36.0,0,0,0.0,1,0,1,Adult
183,0,3,9.0,4,2,31.3875,1,0,1,Minor
184,1,2,1.0,2,1,39.0,1,0,1,Minor
185,1,3,4.0,0,2,22.025,0,0,1,Minor
188,1,1,45.0,0,0,26.55,1,0,1,Adult
189,0,3,40.0,1,1,15.5,1,1,0,Adult
190,0,3,36.0,0,0,7.8958,1,0,1,Adult
191,1,2,32.0,0,0,13.0,0,0,1,Adult
192,0,2,19.0,0,0,13.0,1,0,1,Adult
193,1,3,19.0,1,0,7.8542,0,0,1,Adult
194,1,2,3.0,1,1,26.0,1,0,1,Minor
195,1,1,44.0,0,0,27.7208,0,0,0,Adult
196,1,1,58.0,0,0,34.69451400560218,0,0,0,Adult
198,0,3,42.0,0,1,8.4042,1,0,1,Adult
200,0,2,24.0,0,0,13.0,0,0,1,Adult
201,0,3,28.0,0,0,9.5,1,0,1,Adult
203,0,3,34.0,0,0,6.4958,1,0,1,Adult
204,0,3,45.5,0,0,7.225,1,0,0,Adult
205,1,3,18.0,0,0,8.05,1,0,1,Minor
206,0,3,2.0,0,1,10.4625,0,0,1,Minor
207,0,3,32.0,1,0,15.85,1,0,1,Adult
208,1,3,26.0,0,0,18.7875,1,0,0,Adult
209,1,3,16.0,0,0,7.75,0,1,0,Minor
210,1,1,40.0,0,0,31.0,1,0,0,Adult
211,0,3,24.0,0,0,7.05,1,0,1,Adult
212,1,2,35.0,0,0,21.0,0,0,1,Adult
213,0,3,22.0,0,0,7.25,1,0,1,Adult
214,0,2,30.0,0,0,13.0,1,0,1,Adult
216,1,1,31.0,1,0,34.69451400560218,0,0,0,Adult
217,1,3,27.0,0,0,7.925,0,0,1,Adult
218,0,2,42.0,1,0,27.0,1,0,1,Adult
219,1,1,32.0,0,0,34.69451400560218,0,0,0,Adult
220,0,2,30.0,0,0,10.5,1,0,1,Adult
221,1,3,16.0,0,0,8.05,1,0,1,Minor
222,0,2,27.0,0,0,13.0,1,0,1,Adult
223,0,3,51.0,0,0,8.05,1,0,1,Adult
225,1,1,38.0,1,0,34.69451400560218,1,0,1,Adult
226,0,3,22.0,0,0,9.35,1,0,1,Adult
227,1,2,19.0,0,0,10.5,1,0,1,Adult
228,0,3,20.5,0,0,7.25,1,0,1,Adult
229,0,2,18.0,0,0,13.0,1,0,1,Minor
231,1,1,35.0,1,0,34.69451400560218,0,0,1,Adult
232,0,3,29.0,0,0,7.775,1,0,1,Adult
233,0,2,59.0,0,0,13.5,1,0,1,Adult
234,1,3,5.0,4,2,31.3875,0,0,1,Minor
235,0,2,24.0,0,0,10.5,1,0,1,Adult
237,0,2,44.0,1,0,26.0,1,0,1,Adult
238,1,2,8.0,0,2,26.25,0,0,1,Minor
239,0,2,19.0,0,0,10.5,1,0,1,Adult
240,0,2,33.0,0,0,12.275,1,0,1,Adult
243,0,2,29.0,0,0,10.5,1,0,1,Adult
244,0,3,22.0,0,0,7.125,1,0,1,Adult
245,0,3,30.0,0,0,7.225,1,0,0,Adult
246,0,1,44.0,2,0,34.69451400560218,1,1,0,Adult
247,0,3,25.0,0,0,7.775,0,0,1,Adult
248,1,2,24.0,0,2,14.5,0,0,1,Adult
249,1,1,37.0,1,1,52.5542,1,0,1,Adult
250,0,2,54.0,1,0,26.0,1,0,1,Adult
252,0,3,29.0,1,1,10.4625,0,0,1,Adult
253,0,1,62.0,0,0,26.55,1,0,1,Senior
254,0,3,30.0,1,0,16.1,1,0,1,Adult
255,0,3,41.0,0,2,20.2125,0,0,1,Adult
256,1,3,29.0,0,2,15.2458,0,0,0,Adult
258,1,1,30.0,0,0,34.69451400560218,0,0,1,Adult
259,1,1,35.0,0,0,34.69451400560218,0,0,0,Adult
260,1,2,50.0,0,1,26.0,0,0,1,Adult
262,1,3,3.0,4,2,31.3875,1,0,1,Minor
263,0,1,52.0,1,1,34.69451400560218,1,0,1,Adult
264,0,1,40.0,0,0,0.0,1,0,1,Adult
266,0,2,36.0,0,0,10.5,1,0,1,Adult
267,0,3,16.0,4,1,39.6875,1,0,1,Minor
268,1,3,25.0,1,0,7.775,1,0,1,Adult
269,1,1,58.0,0,1,34.69451400560218,0,0,1,Adult
270,1,1,35.0,0,0,34.69451400560218,0,0,1,Adult
272,1,3,25.0,0,0,0.0,1,0,1,Adult
273,1,2,41.0,0,1,19.5,0,0,1,Adult
274,0,1,37.0,0,1,29.7,1,0,0,Adult
276,1,1,63.0,1,0,34.69451400560218,0,0,1,Senior
277,0,3,45.0,0,0,7.75,0,0,1,Adult
279,0,3,7.0,4,1,29.125,1,1,0,Minor
280,1,3,35.0,1,1,20.25,0,0,1,Adult
281,0,3,65.0,0,0,7.75,1,1,0,Senior
282,0,3,28.0,0,0,7.8542,1,0,1,Adult
283,0,3,16.0,0,0,9.5,1,0,1,Minor
284,1,3,19.0,0,0,8.05,1,0,1,Adult
286,0,3,33.0,0,0,8.6625,1,0,0,Adult
287,1,3,30.0,0,0,9.5,1,0,1,Adult
288,0,3,22.0,0,0,7.8958,1,0,1,Adult
289,1,2,42.0,0,0,13.0,1,0,1,Adult
290,1,3,22.0,0,0,7.75,0,1,0,Adult
291,1,1,26.0,0,0,34.69451400560218,0,0,1,Adult
292,1,1,19.0,1,0,34.69451400560218,0,0,0,Adult
293,0,2,36.0,0,0,12.875,1,0,0,Adult
294,0,3,24.0,0,0,8.85,0,0,1,Adult
295,0,3,24.0,0,0,7.8958,1,0,1,Adult
297,0,3,23.5,0,0,7.2292,1,0,0,Adult
298,0,1,2.0,1,2,34.69451400560218,0,0,1,Minor
300,1,1,50.0,0,1,34.69451400560218,0,0,0,Adult
303,0,3,19.0,0,0,0.0,1,0,1,Adult
306,1,1,0.92,1,2,34.69451400560218,1,0,1,Minor
308,1,1,17.0,1,0,34.69451400560218,0,0,0,Minor
309,0,2,30.0,1,0,24.0,1,0,0,Adult
310,1,1,30.0,0,0,56.9292,0,0,0,Adult
311,1,1,24.0,0,0,34.69451400560218,0,0,0,Adult
312,1,1,18.0,2,2,34.69451400560218,0,0,0,Minor
313,0,2,26.0,1,1,26.0,0,0,1,Adult
314,0,3,28.0,0,0,7.8958,1,0,1,Adult
315,0,2,43.0,1,1,26.25,1,0,1,Adult
316,1,3,26.0,0,0,7.8542,0,0,1,Adult
317,1,2,24.0,1,0,26.0,0,0,1,Adult
318,0,2,54.0,0,0,14.0,1,0,1,Adult
319,1,1,31.0,0,2,34.69451400560218,0,0,1,Adult
320,1,1,40.0,1,1,34.69451400560218,0,0,0,Adult
321,0,3,22.0,0,0,7.25,1,0,1,Adult
322,0,3,27.0,0,0,7.8958,1,0,1,Adult
323,1,2,30.0,0,0,12.35,0,1,0,Adult
324,1,2,22.0,1,1,29.0,0,0,1,Adult
326,1,1,36.0,0,0,34.69451400560218,0,0,0,Adult
327,0,3,61.0,0,0,6.2375,1,0,1,Senior
328,1,2,36.0,0,0,13.0,0,0,1,Adult
329,1,3,31.0,1,1,20.525,0,0,1,Adult
330,1,1,16.0,0,1,57.9792,0,0,0,Minor
332,0,1,45.5,0,0,28.5,1,0,1,Adult
333,0,1,38.0,0,1,34.69451400560218,1,0,1,Adult
334,0,3,16.0,2,0,18.0,1,0,1,Minor
337,0,1,29.0,1,0,66.6,1,0,1,Adult
338,1,1,41.0,0,0,34.69451400560218,0,0,0,Adult
339,1,3,45.0,0,0,8.05,1,0,1,Adult
340,0,1,45.0,0,0,35.5,1,0,1,Adult
341,1,2,2.0,1,1,26.0,1,0,1,Minor
342,1,1,24.0,3,2,34.69451400560218,0,0,1,Adult
343,0,2,28.0,0,0,13.0,1,0,1,Adult
344,0,2,25.0,0,0,13.0,1,0,1,Adult
345,0,2,36.0,0,0,13.0,1,0,1,Adult
346,1,2,24.0,0,0,13.0,0,0,1,Adult
347,1,2,40.0,0,0,13.0,0,0,1,Adult
349,1,3,3.0,1,1,15.9,1,0,1,Minor
350,0,3,42.0,0,0,8.6625,1,0,1,Adult
351,0,3,23.0,0,0,9.225,1,0,1,Adult
353,0,3,15.0,1,1,7.2292,1,0,0,Minor
354,0,3,25.0,1,0,17.8,1,0,1,Adult
356,0,3,28.0,0,0,9.5,1,0,1,Adult
357,1,1,22.0,0,1,55.0,0,0,1,Adult
358,0,2,38.0,0,0,13.0,0,0,1,Adult
361,0,3,40.0,1,4,27.9,1,0,1,Adult
362,0,2,29.0,1,0,27.7208,1,0,0,Adult
363,0,3,45.0,0,1,14.4542,0,0,0,Adult
364,0,3,35.0,0,0,7.05,1,0,1,Adult
366,0,3,30.0,0,0,7.25,1,0,1,Adult
367,1,1,60.0,1,0,34.69451400560218,0,0,0,Adult
370,1,1,24.0,0,0,69.3,0,0,0,Adult
371,1,1,25.0,1,0,55.4417,1,0,0,Adult
372,0,3,18.0,1,0,6.4958,1,0,1,Minor
373,0,3,19.0,0,0,8.05,1,0,1,Adult
374,0,1,22.0,0,0,34.69451400560218,1,0,0,Adult
375,0,3,3.0,3,1,21.075,0,0,1,Minor
377,1,3,22.0,0,0,7.25,0,0,1,Adult
378,0,1,27.0,0,2,34.69451400560218,1,0,0,Adult
379,0,3,20.0,0,0,4.0125,1,0,0,Adult
380,0,3,19.0,0,0,7.775,1,0,1,Adult
381,1,1,42.0,0,0,34.69451400560218,0,0,0,Adult
382,1,3,1.0,0,2,15.7417,0,0,0,Minor
383,0,3,32.0,0,0,7.925,1,0,1,Adult
384,1,1,35.0,1,0,52.0,0,0,1,Adult
386,0,2,18.0,0,0,34.69451400560218,1,0,1,Minor
387,0,3,1.0,5,2,46.9,1,0,1,Minor
388,1,2,36.0,0,0,13.0,0,0,1,Adult
390,1,2,17.0,0,0,12.0,0,0,0,Minor
391,1,1,36.0,1,2,34.69451400560218,1,0,1,Adult
392,1,3,21.0,0,0,7.7958,1,0,1,Adult
393,0,3,28.0,2,0,7.925,1,0,1,Adult
394,1,1,23.0,1,0,34.69451400560218,0,0,0,Adult
395,1,3,24.0,0,2,16.7,0,0,1,Adult
396,0,3,22.0,0,0,7.7958,1,0,1,Adult
397,0,3,31.0,0,0,7.8542,0,0,1,Adult
398,0,2,46.0,0,0,26.0,1,0,1,Adult
399,0,2,23.0,0,0,10.5,1,0,1,Adult
400,1,2,28.0,0,0,12.65,0,0,1,Adult
401,1,3,39.0,0,0,7.925,1,0,1,Adult
402,0,3,26.0,0,0,8.05,1,0,1,Adult
403,0,3,21.0,1,0,9.825,0,0,1,Adult
404,0,3,28.0,1,0,15.85,1,0,1,Adult
405,0,3,20.0,0,0,8.6625,0,0,1,Adult
406,0,2,34.0,1,0,21.0,1,0,1,Adult
407,0,3,51.0,0,0,7.75,1,0,1,Adult
408,1,2,3.0,1,1,18.75,1,0,1,Minor
409,0,3,21.0,0,0,7.775,1,0,1,Adult
413,1,1,33.0,1,0,34.69451400560218,0,1,0,Adult
415,1,3,44.0,0,0,7.925,1,0,1,Adult
417,1,2,34.0,1,1,32.5,0,0,1,Adult
418,1,2,18.0,0,2,13.0,0,0,1,Minor
419,0,2,30.0,0,0,13.0,1,0,1,Adult
420,0,3,10.0,0,2,24.15,0,0,1,Minor
422,0,3,21.0,0,0,7.7333,1,1,0,Adult
423,0,3,29.0,0,0,7.875,1,0,1,Adult
424,0,3,28.0,1,1,14.4,0,0,1,Adult
425,0,3,18.0,1,1,20.2125,1,0,1,Minor
427,1,2,28.0,1,0,26.0,0,0,1,Adult
428,1,2,19.0,0,0,26.0,0,0,1,Adult
430,1,3,32.0,0,0,8.05,1,0,1,Adult
431,1,1,28.0,0,0,26.55,1,0,1,Adult
433,1,2,42.0,1,0,26.0,0,0,1,Adult
434,0,3,17.0,0,0,7.125,1,0,1,Minor
435,0,1,50.0,1,0,55.9,1,0,1,Adult
436,1,1,14.0,1,2,34.69451400560218,0,0,1,Minor
437,0,3,21.0,2,2,34.375,0,0,1,Adult
438,1,2,24.0,2,3,18.75,0,0,1,Adult
439,0,1,64.0,1,4,34.69451400560218,1,0,1,Senior
440,0,2,31.0,0,0,10.5,1,0,1,Adult
441,1,2,45.0,1,1,26.25,0,0,1,Adult
442,0,3,20.0,0,0,9.5,1,0,1,Adult
443,0,3,25.0,1,0,7.775,1,0,1,Adult
444,1,2,28.0,0,0,13.0,0,0,1,Adult
446,1,1,4.0,0,2,34.69451400560218,1,0,1,Minor
447,1,2,13.0,0,1,19.5,0,0,1,Minor
448,1,1,34.0,0,0,26.55,1,0,1,Adult
449,1,3,5.0,2,1,19.2583,0,0,0,Minor
450,1,1,52.0,0,0,30.5,1,0,1,Adult
451,0,2,36.0,1,2,27.75,1,0,1,Adult
453,0,1,30.0,0,0,27.75,1,0,0,Adult
454,1,1,49.0,1,0,34.69451400560218,1,0,0,Adult
456,1,3,29.0,0,0,7.8958,1,0,0,Adult
457,0,1,65.0,0,0,26.55,1,0,1,Senior
459,1,2,50.0,0,0,10.5,0,0,1,Adult
461,1,1,48.0,0,0,26.55,1,0,1,Adult
462,0,3,34.0,0,0,8.05,1,0,1,Adult
463,0,1,47.0,0,0,38.5,1,0,1,Adult
464,0,2,48.0,0,0,13.0,1,0,1,Adult
466,0,3,38.0,0,0,7.05,1,0,1,Adult
468,0,1,56.0,0,0,26.55,1,0,1,Adult
470,1,3,0.75,2,1,19.2583,0,0,0,Minor
472,0,3,38.0,0,0,8.6625,1,0,1,Adult
473,1,2,33.0,1,2,27.75,0,0,1,Adult
474,1,2,23.0,0,0,13.7917,0,0,0,Adult
475,0,3,22.0,0,0,9.8375,0,0,1,Adult
477,0,2,34.0,1,0,21.0,1,0,1,Adult
478,0,3,29.0,1,0,7.0458,1,0,1,Adult
479,0,3,22.0,0,0,7.5208,1,0,1,Adult
480,1,3,2.0,0,1,12.2875,0,0,1,Minor
481,0,3,9.0,5,2,46.9,1,0,1,Minor
483,0,3,50.0,0,0,8.05,1,0,1,Adult
484,1,3,63.0,0,0,9.5875,0,0,1,Senior
485,1,1,25.0,1,0,34.69451400560218,1,0,0,Adult
487,1,1,35.0,1,0,34.69451400560218,0,0,1,Adult
488,0,1,58.0,0,0,29.7,1,0,0,Adult
489,0,3,30.0,0,0,8.05,1,0,1,Adult
490,1,3,9.0,1,1,15.9,1,0,1,Minor
492,0,3,21.0,0,0,7.25,1,0,1,Adult
493,0,1,55.0,0,0,30.5,1,0,1,Adult
494,0,1,65.0,0,0,49.5042,1,0,0,Senior
495,0,3,21.0,0,0,8.05,1,0,1,Adult
497,1,1,54.0,1,0,34.69451400560218,0,0,0,Adult
499,0,1,25.0,1,2,34.69451400560218,0,0,1,Adult
500,0,3,24.0,0,0,7.7958,1,0,1,Adult
501,0,3,17.0,0,0,8.6625,1,0,1,Minor
502,0,3,21.0,0,0,7.75,0,1,0,Adult
504,0,3,37.0,0,0,9.5875,0,0,1,Adult
505,1,1,16.0,0,0,34.69451400560218,0,0,1,Minor
506,0,1,18.0,1,0,34.69451400560218,1,0,0,Minor
507,1,2,33.0,0,2,26.0,0,0,1,Adult
509,0,3,28.0,0,0,22.525,1,0,1,Adult
510,1,3,26.0,0,0,56.4958,1,0,1,Adult
511,1,3,29.0,0,0,7.75,1,1,0,Adult
513,1,1,36.0,0,0,26.2875,1,0,1,Adult
514,1,1,54.0,1,0,59.4,0,0,0,Adult
515,0,3,24.0,0,0,7.4958,1,0,1,Adult
516,0,1,47.0,0,0,34.0208,1,0,1,Adult
517,1,2,34.0,0,0,10.5,0,0,1,Adult
519,1,2,36.0,1,0,26.0,0,0,1,Adult
520,0,3,32.0,0,0,7.8958,1,0,1,Adult
521,1,1,30.0,0,0,34.69451400560218,0,0,1,Adult
522,0,3,22.0,0,0,7.8958,1,0,1,Adult
524,1,1,44.0,0,1,57.9792,0,0,0,Adult
526,0,3,40.5,0,0,7.75,1,1,0,Adult
527,1,2,50.0,0,0,10.5,0,0,1,Adult
529,0,3,39.0,0,0,7.925,1,0,1,Adult
530,0,2,23.0,2,1,11.5,1,0,1,Adult
531,1,2,2.0,1,1,26.0,0,0,1,Minor
533,0,3,17.0,1,1,7.2292,1,0,0,Minor
535,0,3,30.0,0,0,8.6625,0,0,1,Adult
536,1,2,7.0,0,2,26.25,0,0,1,Minor
537,0,1,45.0,0,0,26.55,1,0,1,Adult
538,1,1,30.0,0,0,34.69451400560218,0,0,0,Adult
540,1,1,22.0,0,2,49.5,0,0,0,Adult
541,1,1,36.0,0,2,71.0,0,0,1,Adult
542,0,3,9.0,4,2,31.275,0,0,1,Minor
543,0,3,11.0,4,2,31.275,0,0,1,Minor
544,1,2,32.0,1,0,26.0,1,0,1,Adult
545,0,1,50.0,1,0,34.69451400560218,1,0,0,Adult
546,0,1,64.0,0,0,26.0,1,0,1,Senior
547,1,2,19.0,1,0,26.0,0,0,1,Adult
549,0,3,33.0,1,1,20.525,1,0,1,Adult
550,1,2,8.0,1,1,36.75,1,0,1,Minor
551,1,1,17.0,0,2,34.69451400560218,1,0,0,Minor
552,0,2,27.0,0,0,26.0,1,0,1,Adult
554,1,3,22.0,0,0,7.225,1,0,0,Adult
555,1,3,22.0,0,0,7.775,0,0,1,Adult
556,0,1,62.0,0,0,26.55,1,0,1,Senior
557,1,1,48.0,1,0,39.6,0,0,0,Adult
559,1,1,39.0,1,1,34.69451400560218,0,0,1,Adult
560,1,3,36.0,1,0,17.4,0,0,1,Adult
562,0,3,40.0,0,0,7.8958,1,0,1,Adult
563,0,2,28.0,0,0,13.5,1,0,1,Adult
566,0,3,24.0,2,0,24.15,1,0,1,Adult
567,0,3,19.0,0,0,7.8958,1,0,1,Adult
568,0,3,29.0,0,4,21.075,0,0,1,Adult
570,1,3,32.0,0,0,7.8542,1,0,1,Adult
571,1,2,62.0,0,0,10.5,1,0,1,Senior
572,1,1,53.0,2,0,51.4792,0,0,1,Adult
573,1,1,36.0,0,0,26.3875,1,0,1,Adult
575,0,3,16.0,0,0,8.05,1,0,1,Minor
576,0,3,19.0,0,0,14.5,1,0,1,Adult
577,1,2,34.0,0,0,13.0,0,0,1,Adult
578,1,1,39.0,1,0,55.9,0,0,1,Adult
580,1,3,32.0,0,0,7.925,1,0,1,Adult
581,1,2,25.0,1,1,30.0,0,0,1,Adult
582,1,1,39.0,1,1,34.69451400560218,0,0,0,Adult
583,0,2,54.0,0,0,26.0,1,0,1,Adult
584,0,1,36.0,0,0,40.125,1,0,0,Adult
586,1,1,18.0,0,2,34.69451400560218,0,0,1,Minor
587,0,2,47.0,0,0,15.0,1,0,1,Adult
588,1,1,60.0,1,1,34.69451400560218,1,0,0,Adult
589,0,3,22.0,0,0,8.05,1,0,1,Adult
591,0,3,35.0,0,0,7.125,1,0,1,Adult
592,1,1,52.0,1,0,34.69451400560218,0,0,0,Adult
593,0,3,47.0,0,0,7.25,1,0,1,Adult
595,0,2,37.0,1,0,26.0,1,0,1,Adult
596,0,3,36.0,1,1,24.15,1,0,1,Adult
598,0,3,49.0,0,0,0.0,1,0,1,Adult
600,1,1,49.0,1,0,56.9292,1,0,0,Adult
601,1,2,24.0,2,1,27.0,0,0,1,Adult
604,0,3,44.0,0,0,8.05,1,0,1,Adult
605,1,1,35.0,0,0,26.55,1,0,0,Adult
606,0,3,36.0,1,0,15.55,1,0,1,Adult
607,0,3,30.0,0,0,7.8958,1,0,1,Adult
608,1,1,27.0,0,0,30.5,1,0,1,Adult
609,1,2,22.0,1,2,41.5792,0,0,0,Adult
610,1,1,40.0,0,0,34.69451400560218,0,0,1,Adult
611,0,3,39.0,1,5,31.275,0,0,1,Adult
